Bošice;49.0893;13.8474
Bošilec;49.1486;14.6530
Bošovice;49.0615;16.8465
Bošín;50.0342;16.1997
Božanov;50.5266;16.3512
Božejov;49.3539;15.1555
Božetice;49.4536;14.4415
Božice;48.8440;16.2892
Božičany;50.2707;12.7591
Boží Dar;50.4248;12.8396
Brada-Rybníček;50.4650;15.3326
Bradlec;50.4522;14.9117
Bradlecká Lhota;50.4933;15.3908
Bradáčov;49.4940;14.8750
Brambory;49.9775;15.4632
Brandov;50.6275;13.3790
Brandýs nad Labem-Stará Boleslav;50.1885;14.6519
Brandýs nad Orlicí;50.0024;16.2900
Brandýsek;50.1904;14.1515
Branice;49.4070;14.3362
Branišov;48.9838;14.4020
Branišovice;48.9651;16.4405
Branka u Opavy;49.8891;17.8815
Brankovice;49.1560;17.1488
Branky;49.4623;17.8958
Branná;50.1618;17.0165
Branov;49.9999;13.8292
Bransouze;49.3052;15.7350
Brantice;50.0789;17.6023
Braníškov;49.2984;16.3442
Branžež;50.5090;15.0689
Bratkovice;49.7470;13.9946
Bratronice;49.3633;13.8354
Bratronice;50.0694;14.0191
Bratrušov;50.0201;16.9434
Bratčice;49.0760;16.5185
Bratčice;49.8502;15.4312
Bratřejov;49.2174;17.9154
Bratřice;49.5244;15.0073
Bratříkovice;49.9352;17.6933
Bratřínov;49.8442;14.3319
Bravantice;49.7636;18.0824
Braňany;50.5410;13.7100
Braškov;50.0996;14.0860
Bražec;50.1756;13.0624
Brloh;48.9347;14.2047
Brloh;50.0102;15.5509
Brniště;50.7137;14.7260
Brno;49.2150;16.5904
Brníčko;49.8964;16.9725
Brnířov;49.3803;13.0488
Brněnec;49.6305;16.5303
Brod nad Dyjí;48.8734;16.5347
Brod nad Tichou;49.8375;12.7330
Brodce;50.3368;14.8768
Brodec;50.3019;13.8096
Brodek u Konice;49.5567;16.8374
Brodek u Prostějova;49.3679;17.0813
Brodek u Přerova;49.4768;17.3469
Brodeslavy;49.9546;13.5588
Broumov;49.8913;12.5879
Broumov;50.6075;16.3494
Broumy;49.9428;13.8574
Brozany nad Ohří;50.4490;14.1314
Brtnice;49.3126;15.6734
Brtnička;49.2419;15.6262
Brumov-Bylnice;49.0732;18.0333
Brumov;49.4651;16.4282
Brumovice;48.9679;16.8872
Brumovice;50.0197;17.7373
Bruntál;49.9864;17.4644
Brusné;49.3561;17.6683
Bruzovice;49.7196;18.4066
Brušperk;49.7054;18.2315
Brzice;50.4503;15.9556
Brzkov;49.5262;15.7282
Brzánky;50.4655;14.3075
Brázdim;50.1847;14.5848
Brňany;50.4783;14.1372
Brťov-Jeneč;49.4198;16.5037
Bublava;50.3704;12.5022
Bubovice;49.9686;14.1613
Buchlovice;49.0901;17.3112
Budeč;49.0912;15.5854
Budeč;49.5394;15.9142
Budiměřice;50.2032;15.1117
Budislav;49.2904;14.8483
Budislav;49.7966;16.1633
Budišov nad Budišovkou;49.7959;17.6094
Budišov;49.2765;16.0086
Budišovice;49.8663;18.0289
Budkov;49.0493;15.6664
Budkov;49.0730;14.0123
Budyně nad Ohří;50.4059;14.1337
Budyně;49.1488;14.0653
Budíkov;49.5828;15.3571
Budíškovice;49.0357;15.5055
Budčeves;50.3073;15.2533
Budětice;49.2927;13.5860
Budětsko;49.5855;16.9283
Bujanov;48.7029;14.4537
Bujesily;49.9145;13.5779
Buk;49.0256;13.8422
Buk;49.5104;17.4628
Bukov;49.4517;16.2240
Bukovany;49.0373;17.0990
Bukovany;49.5764;14.1025
Bukovany;49.6060;17.3457
Bukovany;49.8263;14.6250
Bukovany;50.1608;12.5778
Bukovec;49.5455;18.8224
Bukovec;49.5880;12.9934
Bukovice;49.4080;16.4865
Bukovice;50.5578;16.2308
Bukovina nad Labem;50.1233;15.8262
Bukovina u Přelouče;49.9481;15.5648
Bukovina u Čisté;50.5446;15.5786
Bukovina;49.2977;16.7725
Bukovinka;49.3017;16.7957
Bukovka;50.1009;15.6251
Bukovno;50.4417;14.8306
Bukovník;49.2195;13.6569
Buková u Příbramě;49.7692;14.0780
Buková;49.5129;16.8229
Buková;49.5370;13.1592
Bukvice;50.4134;15.2859
Bulhary;48.8244;16.7384
Bulovka;50.9810;15.1290
Butoves;50.3855;15.4238
Buzice;49.4282;13.9384
Bučina;49.8929;16.1903
Bučovice;49.1428;17.0037
Bučí;49.8821;13.2965
Buřenice;49.5413;15.0704
Buš;49.7989;14.3842
Bušanovice;49.1051;13.9343
Bušovice;49.8034;13.5346
Buštěhrad;50.1558;14.1877
Bušín;49.9864;16.8347
Bykoš;49.8851;14.0617
Bylany;49.9597;15.7285
Bynovec;50.8217;14.2764
Bystrovany;49.5973;17.3165
Bystročice;49.5438;17.1882
Bystrá nad Jizerou;50.6028;15.4059
Bystrá;49.5057;15.3677
Bystré;49.6335;16.3600
Bystré;50.3184;16.2569
Bystřany;50.6244;13.8735
Bystřec;50.0111;16.6273
Bystřice nad Pernštejnem;49.5450;16.2657
Bystřice pod Hostýnem;49.3960;17.6404
Bystřice pod Lopeníkem;48.9706;17.7633
Bystřice;49.6373;18.7328
Bystřice;49.7171;14.6551
Bystřice;50.3988;15.2473
Bystřička;49.4177;17.9963
Byzhradec;50.2179;16.1884
Byšice;50.3231;14.6250
Bzenec;48.9612;17.2822
Bzová;49.9097;13.8505
Bácovice;49.4778;15.1676
Bánov;48.9753;17.7326
Báňovice;49.0179;15.4900
Bílence;50.4282;13.5225
Bílichov;50.2571;13.8927
Bílina;50.5519;13.7399
Bílkovice;49.7595;14.8464
Bílov;49.7336;17.9977
Bílov;50.0254;13.4186
Bílovec;49.7705;17.9927
Bílovice nad Svitavou;49.2642;16.6583
Bílovice-Lutotín;49.5168;17.0215
Bílovice;49.0998;17.5540
Bílsko u Hořic;50.3631;15.6008
Bílsko;49.1742;14.0423
Bílsko;49.6446;17.0206
Bílá Hlína;50.5268;14.9095
Bílá Lhota;49.7160;16.9833
Bílá Třemešná;50.4437;15.7603
Bílá Voda;50.4263;16.9032
Bílá;49.4407;18.4545
Bílá;50.6571;15.0266
Bílé Podolí;49.9643;15.4699
Bílé Poličany;50.3955;15.7315
Bílý Kostel nad Nisou;50.8101;14.9100
Bílý Kámen;49.4470;15.5022
Bílý Potok;50.8675;15.2438
Bílý Újezd;50.2420;16.2160
Bílčice;49.8701;17.5632
Bítouchov;50.4780;14.8954
Bítov;48.9382;15.7150
Bítov;49.7978;18.0552
Bítovany;49.9004;15.8632
Bítovčice;49.3735;15.7438
Býchory;50.0720;15.2753
Býkev;50.3526;14.4156
Býkov-Láryšov;50.0486;17.6773
Býkovice;49.4297;16.5408
Býčkovice;50.5552;14.2128
Býškovice;49.4701;17.7180
Býšovec;49.4699;16.2920
Býšť;50.1442;15.9233
Běchary;50.3090;15.2932
Běhařov;49.3396;13.1578
Běhařovice;48.9981;16.0676
Běleč nad Orlicí;50.1870;15.9505
Běleč;49.4424;16.3783
Běleč;49.5510;14.8447
Běleč;50.0591;13.9783
Bělkovice-Lašťany;49.6857;17.3226
Běloky;50.1291;14.2106
Bělotín;49.5977;17.7879
